,종목코드,해당년도,매출증감비율,영업이익증감비율,당기순이익증감비율,자산총계증감비율,부채비율,부채증감비율,PBR,PER,log(PBR증감비율),OPM,자본유보율,ROE,ROA,현금배당성향,group
205,005440,2017/12,0.00494114811392761,-0.0072711203952918494,0.0065078536134656325,1.281981940688454,36.88,1.3111188446145816,0.78,12.88,-0.13192754304254806,3.44,3033.2,7.12,4.88,6.16,1
206,005440,2018/12,0.2547610173402197,0.017783930568127364,0.0020233214418827537,1.0144803174943688,34.4,0.9639017916390179,0.73,13.55,-0.06624938554120072,4.22,3231.48,6.1,4.52,17.78,0
208,005490,2016/12,-0.06379150387271668,0.005422927131992023,0.014289656481353148,0.9919685407567331,74.01,0.959989812810391,0.49,16.47,0.4260843953109001,5.36,8824.89,3.26,1.31,46.94,1
209,005490,2017/12,0.09536740811648235,0.022388341688288786,0.024249943320653954,0.9907475897345888,66.49,0.9303278446908733,0.61,10.39,0.21905356606268467,7.62,9218.26,6.48,3.74,22.94,1
210,005490,2018/12,0.05497055126331043,0.011709552733998714,-0.01375185743543246,0.9901714647263524,67.34,0.997709198060898,0.45,12.53,-0.30421137440299145,8.53,9458.18,3.88,2.41,47.32,1
212,005610,2016/12,0.7712621359223301,0.013359223300970873,0.018485436893203883,1.1006689508892151,130.78,1.0646059593428014,4.83,29.54,-0.6345262436073856,3.5,561.37,18.12,7.69,10.83,0
213,005610,2017/12,0.2770759403832505,-0.01533002129169624,-0.01603974449964514,1.0886451230358731,162.27,1.1885953439707035,4.53,35.38,-0.06412452816953867,2.65,636.52,13.33,5.42,13.45,2
214,005610,2018/12,0.2081119257415753,0.006995358848456312,0.005381045268043318,1.0243736383442266,139.61,0.964568661971831,3.29,26.11,-0.31983437471766224,2.7,715.1,14.18,5.67,12.73,0
216,005830,2016/12,0.026177578703561893,0.0037675921104406364,0.002436329107064176,1.1210693081182657,932.59,1.1239147439489174,0.95,8.45,-0.2082970431972153,4.25,12257.02,13.39,1.26,19.94,1
217,005830,2017/12,0.016904943210459142,0.003041645663295402,0.0029043640536685292,1.078286532006045,900.94,1.074629738861316,0.97,7.62,0.020834086902842053,4.86,13636.34,15.21,1.44,22.02,2
218,005830,2018/12,-0.008072125488521691,-0.002964612953868246,-0.0026464004221351052,1.052784875019638,862.24,1.0480839453776303,0.87,9.36,-0.10880285984879906,4.13,14935.07,11.06,1.08,23.77,0
220,005850,2016/12,0.14091680814940577,0.022637238256932653,0.02647299251713513,1.05425305173416,71.97,0.9722498932688203,0.78,6.42,0.10821358464023279,6.13,5416.62,12.85,7.22,7.74,1
221,005850,2017/12,-0.08158327387784223,-0.02221050345875857,-0.010484846604832955,0.9749433314954359,56.75,0.8432377049180327,0.83,8.68,0.06213178110700618,4.27,5923.63,9.87,6.07,14.17,2
222,005850,2018/12,0.06677102775603588,-0.03546270094527064,-0.043771449214281416,1.0873444765615181,69.18,1.2282589828154835,0.67,26.87,-0.21414798840563182,0.29,5972.99,2.5,1.52,53.87,1
224,005930,2016/12,0.004810908532859275,0.01121157409738957,0.014537414013734009,1.0825619013995817,35.87,1.0965086969678246,1.35,13.18,0.24183568432636235,14.49,22004.14,12.48,9.01,17.81,1
225,005930,2017/12,0.13373624643215853,0.08655136556827274,0.06901822649196775,1.1509598766927194,40.68,1.2607868946255887,1.67,9.4,0.2127190339783256,22.39,24536.12,21.01,14.96,14.09,0
226,005930,2018/12,0.013089811674857938,0.016351969937107448,0.006732705328093041,1.1246224964134466,36.97,1.0497749846150672,1.09,6.42,-0.4266459301876113,24.16,27531.92,19.63,13.83,21.92,2
228,005940,2016/12,0.043407351946044316,-0.00028815414829782383,0.00051962223463542,1.030314364976035,824.34,1.0313813724909704,0.62,12.27,-0.07755823434587461,3.42,204.91,5.14,0.56,51.12,1
229,005940,2017/12,0.016209377262894686,0.0036217827321780314,0.0026109991216083203,1.0214588579168082,807.59,1.0191718551842555,0.86,11.92,0.3272129112084161,4.81,217.15,7.4,0.81,43.02,1
230,005940,2018/12,-0.00625184323533915,0.0016626368104501552,0.0002445658596335828,1.2171181084781753,957.08,1.2384315030788728,0.77,10.86,-0.11054187439982384,5.85,231.36,7.31,0.74,41.74,1
232,006120,2016/12,0.008066418586245995,0.017670022601191698,0.012404021033566954,0.9925549658832449,145.86,0.9686471116432206,1.24,27.17,-0.14256306465487034,3.56,1106.27,5.35,2.68,10.29,0
233,006120,2017/12,0.18860961414097865,-0.02557447725802975,0.10783358482431558,0.7717197024091416,135.66,0.74880906398867,1.15,3.62,-0.07534943724178685,1.28,2934.94,53.52,13.82,1.28,0
234,006120,2018/12,0.10617619608002273,0.0036318630036927322,-0.14273830296635961,0.9513025576055111,107.27,0.8552269601100413,0.37,6.63,-1.1340142157190256,1.44,2118.77,5.56,1.98,17.38,2
236,006260,2016/12,-0.15230804562504785,0.019107402587460767,0.029457245655668682,0.9829479330061226,198.38,0.9321439397219937,0.67,11.35,0.3128723212803396,3.28,1474.75,7.07,2.2,20.64,1
237,006260,2017/12,0.09250504014340923,0.0069267059044581785,0.015204221024888406,1.0273756820755688,174.74,0.9828114837870482,0.74,7.86,0.09937247381320356,4.27,1662.86,11.48,3.71,11.69,0
238,006260,2018/12,0.06589412385437633,-0.0012018056396928068,0.012008285619369589,1.0512481335618153,140.63,0.9659513455599672,0.43,3.91,-0.5428649775106075,3.57,1942.82,13.73,4.76,8.59,1
240,006280,2016/12,0.10122399433523283,-0.00890177698351148,-0.020568499848265163,1.095752950321532,46.42,1.1777671298514614,1.8,29.14,-0.20520585062754246,6.55,1645.95,6.46,4.39,22.66,2
241,006280,2017/12,0.05531313379632475,0.00725216643107369,-0.005224018191875115,1.098671482006965,53.65,1.2101301871440195,2.48,49.6,0.32047189527477177,7.01,1714.5,5.24,3.48,26.79,0
242,006280,2018/12,0.02742923840093376,-0.023402392763349867,-0.013131018383425737,1.0116224465837051,53.03,1.0038661959993276,1.46,46.16,-0.5298221244566457,3.76,1760.95,3.28,2.0,33.15,2
246,006360,2018/12,0.11347887088562333,0.05797146510480025,0.0583834371684305,0.8785611027554283,231.98,0.8041197678088152,0.97,5.67,0.43157625211185,8.1,830.57,17.34,4.57,13.53,0
249,006390,2017/12,-0.0594488188976378,-0.05610236220472441,0.41633858267716534,0.9542219657626466,136.98,0.7609445476253648,1.22,4.16,-0.9736312784894,7.14,169.26,34.91,12.11,0.0,2
252,006400,2016/12,0.015800498624926107,-0.05567764155550415,0.011913023363405042,0.9183374113267552,35.9,0.7916574485629815,0.69,34.97,-0.056352936551131744,-17.81,2810.66,2.02,1.36,30.9,2
253,006400,2017/12,0.07478624110697735,0.06808955029045101,0.028203119900789764,1.0564686617047978,37.46,1.0898074284843249,1.21,21.9,0.5616840409994817,1.84,2983.72,5.98,4.2,10.19,2
254,006400,2018/12,0.16025008976558358,0.034088124155776056,0.005801991371105171,1.2292001499202754,58.28,1.660838753292771,1.23,21.98,0.016393809775676352,7.81,3266.07,6.05,4.25,9.55,2
256,006650,2016/12,-0.07932699608224254,0.04361162571749628,0.043793846994867436,1.153358184553005,36.39,0.953596757852077,1.32,6.58,0.24807293435673516,21.49,3045.72,23.51,16.58,9.08,1
257,006650,2017/12,0.09801296127684644,-0.03149268919715066,-0.031278453216217666,1.117373554093899,33.76,1.0569485762855928,1.1,7.99,-0.1823215567939546,15.97,3507.37,15.53,11.49,11.53,0
258,006650,2018/12,0.3917562270830699,0.017499051713238085,0.021696801112656466,1.0067492134375318,16.63,0.5685564937675914,0.56,3.88,-0.6751286750572669,12.48,4063.24,16.22,13.02,9.6,1
260,006800,2016/12,0.08499856448943674,-0.003391539590914502,-0.0037089858292932852,2.0153364301801804,759.13,2.026998878384874,0.55,61.72,-0.503526321284379,0.04,98.57,0.78,0.09,66.02,1
261,006800,2017/12,0.03332918623017504,0.008446567280437934,0.006615531081636627,1.5825053520477477,1127.25,1.6450357693371804,0.69,12.15,0.22677331936478837,6.09,118.9,7.19,0.68,24.78,1
262,006800,2018/12,0.028971008389068003,-0.0011067877712887754,-0.00041109260076440226,1.302989409290429,1313.8,1.3182404096004305,0.55,11.34,-0.22677331936478834,3.85,105.13,5.83,0.44,33.71,1
264,006840,2016/12,0.04380035895673426,0.041012716233245504,0.06518501546568908,1.0987377279102384,171.1,1.0857017378756508,1.16,10.3,-0.22314355131420985,7.31,841.77,12.19,5.09,9.85,1
265,006840,2017/12,0.16554416445390122,0.01825311692194067,0.018323456486187068,1.0739997811736388,155.61,1.0359433689685063,1.26,9.11,0.08269171584511341,7.83,970.14,15.07,6.52,8.41,0
266,006840,2018/12,0.10049348069434152,0.001292824822236587,0.006684850300345279,1.1538644390111383,130.54,1.07324147933285,0.83,6.69,-0.4174412991548801,7.27,1179.2,13.82,6.51,9.15,0
268,007070,2016/12,0.23874631221647685,-0.0016284406095020568,0.02269242563630788,0.9970224897054165,100.27,0.9174461478750242,1.84,13.36,-0.2274819529128079,2.95,2484.48,14.5,5.79,30.88,0
269,007070,2017/12,0.1762026554714328,-0.010678948816450472,-0.03228140252911746,1.0785572076079128,112.77,1.1417632625433625,1.53,26.26,-0.1844978362165501,2.0,2541.87,5.88,2.35,39.1,2
270,007070,2018/12,0.08340529083915535,0.002865217050003925,0.003375461182196405,1.0012960744653694,107.41,0.9783615547074734,1.49,25.86,-0.02649161544697634,2.07,2617.34,5.86,2.6,41.5,2
272,007310,2016/12,0.08293792655183621,0.005914852128696782,0.02151446213844654,1.0730310584113725,53.85,1.0416666666666667,2.17,16.56,-0.7023215568359866,7.09,5713.2,13.94,8.97,16.65,1
273,007310,2017/12,0.06969587255611875,0.002172338884866039,-0.0033791938209027277,1.0809945375776981,49.51,1.0226008968609865,2.47,21.12,0.1294909830875177,6.87,6478.79,12.34,7.99,17.96,2
274,007310,2018/12,0.06372186410229314,0.0029588925287963646,0.015005812110324422,1.198524713945519,61.76,1.3818628310822663,2.03,15.76,-0.19618235758619001,6.75,7722.83,13.87,8.5,15.91,1
276,007570,2016/12,0.17659474671669795,0.016416510318949345,0.008442776735459663,0.9759036144578314,103.2,0.9696282864913871,4.09,138.83,-0.134753139874845,8.6,183.42,3.04,2.79,32.01,1
277,007570,2017/12,0.01912313432835821,0.004430970149253731,0.0023320895522388058,1.0360873694207027,106.83,1.053763440860215,3.74,119.94,-0.0894593586282697,9.06,191.71,3.28,3.02,0.0,0
280,008060,2016/12,-0.040070168959468196,0.0036931031299049025,-0.01329517126765765,1.0614769699276743,19.46,1.3135838150289016,0.73,17.04,0.05635293655113178,5.86,2000.6,5.06,4.32,53.47,0
281,008060,2017/12,0.036401098901098904,0.0030906593406593405,0.020947802197802196,1.0885780885780887,16.73,0.9570957095709571,0.79,13.51,0.07898841131863046,5.97,2101.53,7.22,6.11,35.09,2
284,008560,2016/12,0.10762071522092345,-0.0049342987396084744,-0.0021137980534128376,1.1967675535564535,819.33,1.2108087269179628,0.84,6.77,-0.22314355131420985,6.61,280.16,14.12,1.6,35.73,1
285,008560,2017/12,0.017240363079099374,0.005732052339974066,0.004980549333962042,1.3580537184817985,607.92,1.3085545339354754,0.96,8.18,0.13353139262452257,8.37,363.05,13.79,1.72,36.69,2
286,008560,2018/12,0.12604463455186002,0.0032483465293596326,0.002878467161304026,1.32882740740109,797.23,1.3749478597676035,0.84,7.11,-0.13353139262452263,6.09,385.42,13.0,1.57,32.54,0
288,008770,2016/12,0.21983545534295942,0.0008535457713919909,0.004409986485525286,0.9376579225432995,208.52,0.9627303182579564,2.76,69.2,-0.39331429032565174,2.13,283.93,3.96,1.32,47.74,2
289,008770,2017/12,-0.09417398244213887,-0.002769823013004084,-0.0011736538190695272,1.0873101420872122,232.14,1.124401913875598,4.81,134.31,0.5554664043886112,2.08,289.06,3.81,1.19,52.54,1
290,008770,2018/12,0.5301908067832586,0.06013840677441465,0.03758650423400915,1.0380767844268204,201.12,0.9920696324951644,3.79,27.74,-0.2383310650233347,4.44,335.96,15.41,4.88,12.04,1
292,008930,2016/12,-0.1170839469808542,-0.19745423942772986,-0.17830843677677258,1.0399141630901287,49.68,0.9249568717653824,5.44,450.87,-0.8367381001722013,2.27,2184.0,1.29,0.84,0.0,2
293,008930,2017/12,-0.013626834381551363,0.01090146750524109,0.0240041928721174,0.9686339248865043,41.14,0.8504818153559217,10.41,235.0,0.6489878217590263,2.14,2134.2,4.59,3.23,40.55,1
294,008930,2018/12,0.06004419770387538,-0.013906106829084245,-0.013798307551339406,0.9762462718363869,40.34,0.9630847953216374,7.68,284.2,-0.3041473354672968,1.55,2065.84,2.73,1.94,69.01,0
296,009150,2016/12,-0.019193549467255107,-0.037087884490460146,0.00030806115683661373,1.054075245890364,76.66,1.1255543143427778,0.91,268.04,-0.21652831219549035,0.4,922.4,0.35,0.31,257.8,2
297,009150,2017/12,0.10440699935191186,0.036526247569669476,0.02001296176279974,1.0136768198783703,79.32,1.0333533834586466,1.79,47.98,0.676526299323905,4.48,942.01,3.82,2.3,35.12,1
298,009150,2018/12,0.1417839059729593,0.1028131340519001,0.06186823297161275,1.1129721657182583,74.77,1.0763991967170174,1.62,12.24,-0.09978947060837087,14.37,1088.79,14.5,8.35,11.53,2
300,009240,2016/12,0.26855293130320107,0.015465771490228989,0.015345881788754345,1.1698751300728407,66.09,1.0725202277494756,6.64,36.72,-0.3707323011892726,8.25,2410.56,26.12,15.29,15.59,0
301,009240,2017/12,0.13652605194389633,-0.02037224681350328,-0.033704869073649404,1.0848343340004447,92.21,1.3079072366582845,6.25,44.15,-0.0605304997400323,6.81,2718.45,18.3,10.23,22.05,0
302,009240,2018/12,-0.13988203977243072,-0.08820919672216712,-0.00615898533326374,0.9636158655324383,63.66,0.7812433240760521,2.07,17.63,-1.1050328564710323,2.91,2999.76,16.63,9.39,23.51,0
304,009420,2016/12,0.023986765922249794,0.0380479735318445,0.07526881720430108,1.0649017933390266,19.52,0.9315068493150684,6.43,337.97,-0.07199509953005052,0.34,312.7,2.03,1.68,0.0,2
305,009420,2017/12,0.008861622358554875,0.021813224267211998,0.025903203817314247,1.3528468323977547,51.71,2.8186274509803924,11.23,219.27,0.5576142305008238,4.2,336.51,5.39,3.96,0.0,2
306,009420,2018/12,0.045921450151057405,0.012084592145015106,-0.015105740181268883,0.9620628334321281,38.82,0.7895652173913044,15.85,573.05,0.34458073157293767,5.96,348.46,2.89,1.99,0.0,1
308,009540,2016/12,-0.4880632076928704,0.0646627053477805,0.040699706558936136,0.9894924306284125,175.2,0.915392297976089,0.54,18.16,0.3513978868378886,1.76,3831.27,3.67,1.27,0.0,0
309,009540,2017/12,-0.1721714607582591,-0.04101156655716304,0.05207029906209952,0.6212305385368125,145.79,0.5787945203721115,0.52,2.55,-0.037740327982847086,0.1,6101.36,18.17,6.79,0.0,1
312,009830,2016/12,0.08831065575251622,0.0319618366129994,0.042680833378507796,0.9974950550799128,152.69,0.9358964299725383,0.77,5.41,-0.22054276961415234,8.42,532.12,15.23,5.57,7.62,1
313,009830,2017/12,0.006043527964059212,-0.0016601498503680727,0.004630944319447782,0.98781290934223,120.6,0.8936955063715627,0.86,6.36,0.11054187439982383,8.1,626.0,14.6,6.08,6.98,0
314,009830,2018/12,-0.020484055261244416,-0.027845296215505005,-0.046681209099407914,1.1159016813802702,144.6,1.206700616456714,0.54,17.83,-0.4653632496892333,3.92,651.93,3.08,1.11,17.63,1
316,010060,2016/12,0.06424849048525916,0.039269527732258586,0.005506591670726486,0.8561133336986902,91.4,0.7355913819454716,0.59,7.75,-0.033336420267591836,4.84,2391.3,7.87,3.24,3.94,2
317,010060,2017/12,0.14520054517133957,0.02644730010384216,0.002141744548286604,0.972665877156483,77.94,0.8921246648793566,0.97,13.81,0.4971735345976634,7.83,2564.28,7.17,3.77,19.8,0
318,010060,2018/12,-0.0885204559783257,-0.021418712832484196,-0.021946938845059383,0.9311922077067359,62.05,0.8140190075504301,0.74,24.59,-0.27064588529921296,5.1,2604.63,3.06,1.77,19.53,0
320,010120,2016/12,0.005273069679849341,-0.013293452974410104,0.0044754625013847344,1.0044854998445618,112.16,0.9666127728375101,1.09,14.77,-0.19900124599261004,5.62,627.59,7.77,3.58,29.07,2
321,010120,2017/12,0.057596954134938906,0.015052240127501329,0.011200637506640694,0.9973472455566363,96.48,0.9264029438822448,1.67,18.58,0.4266459301876114,6.76,685.28,9.51,4.69,30.69,1
322,010120,2018/12,0.060622962073107946,0.01999313540415308,0.011240775699330702,1.0664952566716908,85.42,1.0006319400559718,1.11,11.17,-0.40846361110442075,8.25,789.68,10.78,5.67,26.75,1
324,010130,2016/12,0.17369759089625117,0.014930793753278722,0.01300996731366773,1.0972765280387278,14.48,1.19067673540517,1.52,15.13,-0.06986967996048589,13.08,5678.25,11.18,9.6,25.36,1
325,010130,2017/12,0.11082266450701517,0.0192445657399395,0.005828100616092362,1.085690926480116,15.27,1.137333821197707,1.46,14.79,-0.04027389913793996,13.56,6187.4,10.96,9.38,28.1,1
326,010130,2018/12,0.04018508132361189,-0.018241727425687044,-0.013909141895681435,1.0266833378326536,13.36,0.913029490616622,1.22,15.47,-0.17958557697507987,11.11,6565.05,8.64,7.5,36.86,1
333,010620,2017/12,-0.11320152516001071,-0.011353209048370826,0.04623355010059445,0.9017049087933408,255.66,0.8582643264111138,0.71,3.61,0.11954515064978273,4.4,1801.36,20.05,5.07,0.0,0
334,010620,2018/12,-0.008554624844056318,-0.006280180937104836,-0.055078884164608634,0.41634012068177995,49.48,0.19172951189739645,1.05,28.19,0.39128047311620795,2.95,950.86,3.77,2.05,32.84,0
336,010780,2016/12,0.3971728924270259,0.09711165543988569,0.057511737089201875,1.124457935819601,120.77,0.9093677377995032,1.52,6.07,-0.35601683269418305,17.68,5743.62,29.12,10.92,14.47,0
337,010780,2017/12,0.05010813049279897,0.009064556204849767,-0.008742465375235816,1.0953528731199382,105.44,1.0275819527670074,1.01,5.49,-0.40876000400501694,17.71,6810.79,19.87,8.97,17.35,1
338,010780,2018/12,-0.10604053963051921,0.02500617297806909,0.021908460347033604,0.960610861719919,97.03,0.9217905839979419,0.89,3.85,-0.1264841471091196,23.81,6785.76,23.01,10.95,15.08,1
340,010950,2016/12,-0.1267244339413036,0.06457815750671594,0.046383485830859036,1.2930387661525635,118.4,1.3999186029302946,1.54,8.19,-0.11054187439982384,9.91,2084.62,20.46,9.74,59.89,1
341,010950,2017/12,0.3146403181106157,-0.016773105193396795,0.002829945088048474,1.0808438999928363,120.49,1.089515553558686,1.99,10.94,0.2563522223108632,6.57,2239.92,18.84,8.58,55.11,0
342,010950,2018/12,0.2945574615446565,-0.04727712007731336,-0.06368688088910365,1.0574979287489643,146.63,1.150519115078595,1.76,44.15,-0.12282082968634055,2.51,2111.25,3.88,1.66,33.88,1
344,011070,2016/12,-0.09310512260257343,-0.028866229667394997,-0.02187424132070891,1.1045908591574483,143.11,1.1841995068161728,1.18,422.41,-0.11211729812070624,1.82,1416.42,0.28,0.12,119.45,1
345,011070,2017/12,0.3699172646355331,0.03758381366898012,0.03329020115280555,1.3593681337743138,201.29,1.5427864214992928,1.75,19.5,0.3941013494578493,3.88,1584.48,9.37,3.43,3.38,1
346,011070,2018/12,0.058571723284280015,-0.0056732223903177,-0.0020114152111126394,0.9793449595916631,171.74,0.9264267705707082,0.97,12.54,-0.5900749954201313,3.3,1724.22,8.02,2.8,4.35,2
348,011170,2016/12,0.11049731841695141,0.06827976264514571,0.06193615417822101,1.3835958073911299,68.78,1.652778487807372,1.33,6.89,0.19900124599261007,19.24,5231.49,21.74,13.44,7.34,1
349,011170,2017/12,0.14969873905211503,0.021763068287697147,0.025264132724223412,1.2321955277686742,59.54,1.1283946798639035,1.1,5.62,-0.18986876242933745,18.46,6688.68,21.52,12.9,16.04,0
350,011170,2018/12,0.00984384177486549,-0.04874833023957809,-0.031856178795095925,1.0638381668456856,53.56,0.9943258134371317,0.75,6.01,-0.38299225225610584,12.11,7390.44,13.04,8.14,22.79,1
352,011210,2016/12,-0.04302016752765374,-0.03476052885036337,-0.028631468347780405,1.050724962966288,115.49,1.0692065115486236,0.6,15.19,-0.44895022004790314,3.46,2346.07,4.07,1.91,22.35,0
356,011780,2016/12,0.008199435860541072,-0.0015759361403268354,-0.009387097879338106,1.0796798556025269,163.1,1.1065651013035966,1.41,37.49,0.41616039722491216,3.96,880.5,4.61,1.85,30.17,1
357,011780,2017/12,0.23984483722153432,0.023121007243121227,0.02998060465269179,1.0074129473614746,134.05,0.9307359307359307,1.51,15.6,0.06851994643675614,5.18,996.98,12.34,4.77,12.78,1
358,011780,2018/12,0.11310824770293046,0.06350241939868428,0.062088838144946444,1.0080571203982707,96.61,0.8648875333587496,1.04,5.95,-0.3728889376735517,9.93,1362.22,23.45,10.94,7.47,1
360,011790,2016/12,-0.02945822363863101,-0.01906609394485243,-0.05994180407371484,0.9567810856244239,131.56,0.9404287255499789,0.84,28.7,-0.011834457647002796,6.33,685.31,3.01,0.81,63.09,1
361,011790,2017/12,0.08173871958421923,0.007337307708342018,0.02973833048456803,1.039248469734754,130.13,1.0343159259813457,1.15,16.03,0.3141153295199365,6.62,734.66,7.7,3.79,28.97,1
362,011790,2018/12,0.030478374486694042,0.006772972108154232,0.0012532664924537358,1.0452103727537971,126.17,1.0311520470656315,0.83,11.14,-0.3260915205666521,7.27,780.98,8.09,3.76,29.37,2
364,012330,2016/12,0.05641216610640311,-0.0007523299583324946,0.0001836792205962278,1.1042176265658588,46.06,1.087200171920718,0.88,8.46,-0.03352269203864356,7.59,5890.06,11.23,7.67,10.91,1
365,012330,2017/12,-0.07470724423715733,-0.021086084334750576,-0.035701103915713184,1.0006041484862724,42.16,0.9410275513927746,0.85,16.33,-0.0346855579878901,5.76,6146.92,5.43,3.73,21.14,1
366,012330,2018/12,0.00010848045995715021,2.3582708686337002e-06,0.0077940852208343795,1.031969389124226,40.28,0.9991759506863038,0.59,9.79,-0.365113812584597,5.76,6412.49,6.3,4.45,20.06,2
368,012450,2016/12,0.18554757538190425,0.04309293771707837,0.06960851613167628,1.3759828622897343,141.48,1.7778076014601676,0.99,6.69,0.16430305129127634,4.28,579.14,15.07,7.09,0.0,0
370,012450,2018/12,0.03616776853845393,-0.004519069102196389,0.014759249256331642,1.2869197578119562,180.63,1.3348567262939495,0.71,52.55,-0.1916674192121923,1.19,667.34,1.42,0.75,0.0,1
372,012630,2016/12,0.02608303009376079,0.022612375716043808,0.016361656352094345,1.0498176076659225,109.97,0.9969069790398474,1.32,11.58,0.038614836127779516,10.89,627.3,12.32,5.86,16.79,1
373,012630,2017/12,-0.524001947419669,-0.070042194092827,0.013420967218435572,1.1304843895861425,120.74,1.1806449483447206,1.01,7.82,-0.2676814057451114,5.63,717.2,14.36,6.71,17.99,0
374,012630,2018/12,0.005387421977867345,0.0019700274396679098,0.10404961252776633,0.5214086919289231,61.34,0.36239865809337435,0.52,1.02,-0.663876798259832,6.17,1268.89,38.82,18.72,0.94,0
376,012750,2016/12,0.021437578814627996,0.02269861286254729,-0.010438559618887488,1.0473321858864026,32.77,0.8703211784593093,2.7,23.71,-0.24221969837502352,11.24,6491.37,13.51,9.85,30.07,1
377,012750,2017/12,0.07370393504059962,-0.0020381998093296954,0.0018409546664913377,1.0829224869898657,30.94,1.0369034406215316,3.0,28.37,0.10536051565782614,10.43,7060.34,12.42,9.42,58.97,1
378,012750,2018/12,0.04656292121063595,-0.0021443450557529714,-0.024690601641955644,1.064116345241859,33.31,1.1252341450361252,2.69,37.09,-0.10907109505436201,9.87,7347.08,8.34,6.31,82.09,2
380,014680,2016/12,0.15138854755468173,0.05423117883181781,0.040304743180142544,1.3429942418426104,105.12,1.3073277433467008,3.27,16.86,0.13747099062860288,17.84,398.76,21.29,9.65,19.86,1
381,014680,2017/12,0.08601546029515109,-0.004075895994378074,-0.0011243851018974,1.0337287408889524,85.06,0.9272169548243168,2.51,15.09,-0.26450723176546964,15.18,473.38,17.99,8.16,20.44,2
382,014680,2018/12,0.0796039603960396,0.01900990099009901,0.012805280528052805,1.0945665698880134,77.03,1.0360902255639097,2.26,12.42,-0.10491793985949803,16.08,590.15,20.12,8.94,18.88,2
384,014820,2016/12,0.06392623300143349,0.02200612142109953,0.02673278834605401,1.028528764539453,238.58,0.9597252575710271,5.37,25.13,-0.6025743650564984,9.75,166.89,23.62,6.24,10.55,0
385,014820,2017/12,-0.27114967462039047,-0.03125251064513537,0.0032939664176106693,0.9021930159700466,140.82,0.7486445456517025,3.12,17.07,-0.5429949066993822,9.13,187.62,20.8,6.8,18.8,0
386,014820,2018/12,0.05466851787573759,-0.00798333911836168,-0.018309614717112115,0.9520623359024307,109.51,0.8509559675550405,1.65,13.25,-0.6370577139089018,7.68,215.07,13.17,5.52,24.06,1
388,014830,2016/12,0.031387982338260706,0.014302169322326742,-0.021501247840276443,1.009645061728395,65.7,0.9660148975791434,0.63,7.97,-0.0763729787845741,9.19,1272.16,8.13,4.65,19.61,1
389,014830,2017/12,0.01990832908930969,-0.0008333719153664522,-0.00685216908190194,1.0633358807795186,71.39,1.1173493975903614,0.64,10.45,0.015748356968139112,8.8,1338.51,6.19,3.8,24.7,1
390,014830,2018/12,0.04638202247191011,0.011685393258426966,-0.004584269662921348,0.9989219297457551,69.64,0.9842570627560923,0.57,10.34,-0.11583181552512183,9.84,1468.23,5.52,3.23,27.08,1
392,015760,2016/12,0.006982268764387087,0.0037094895869206647,-0.035503819941636004,1.014718921997017,143.44,0.9764394319894069,0.39,4.01,-0.20763936477824438,19.94,1721.37,10.19,4.05,18.03,0
393,015760,2017/12,-0.0020882811833074313,-0.039198511564378424,-0.03173798105197651,1.0222220347846624,149.15,1.0385335897276844,0.34,18.86,-0.137201121513485,8.28,1727.45,1.81,0.8,39.05,1
396,016360,2016/12,0.01519674017466909,-0.005138242067254917,-0.0031389987901775497,1.072125932426503,768.31,1.0703442953557623,0.63,13.91,-0.27570588140506525,4.78,870.93,4.74,0.54,28.51,1
397,016360,2017/12,0.0016016139773132785,0.0041754357373465474,0.0027199339123495678,1.1419926030472556,760.18,1.1405842941196476,0.74,11.71,0.16093036681263712,8.03,862.24,6.6,0.76,32.88,1
398,016360,2018/12,0.01061106020144496,0.002564273999756158,0.0016544549016831653,1.0100742325743182,722.17,1.0039330164655929,0.6,8.42,-0.20972053098206914,9.37,916.87,7.36,0.88,37.42,2
400,017670,2016/12,-0.0014996885390728986,-0.005754929516308695,0.004816371655552605,1.0950373319711422,94.2,1.1494552255192205,0.99,10.79,-0.01005033585350145,8.98,42270.33,10.74,5.54,42.13,1
401,017670,2017/12,0.013231077272951995,2.7809363721758045e-05,0.03082204479161517,1.0680880703693882,85.41,1.0143796274339314,1.06,8.29,0.06831924397747723,8.77,46488.12,15.38,8.21,27.16,2
402,017670,2018/12,-0.01704534960117576,-0.008834029483705331,0.012517513700925357,1.2674468346061918,89.58,1.3000357154453066,0.86,6.96,-0.2090917978585595,7.12,56140.21,15.52,8.26,22.94,1
404,017800,2016/12,0.15983300260289152,0.012937144035255007,0.06283019354173647,1.188920855192644,166.42,1.1641170748961005,1.82,10.99,-0.23841102344499823,10.32,541.02,18.13,6.03,9.57,2
405,017800,2017/12,0.10688933381871132,-0.021068438296323263,-0.017246086639970876,1.0854052002277472,173.88,1.1032282567413596,1.6,14.31,-0.12883287184296843,6.79,591.01,11.59,3.6,13.16,2
406,017800,2018/12,-0.04997426218256692,0.003345916266300618,-0.03324468085106383,1.0381185521944396,155.03,0.9939410630680253,3.15,357.89,0.677398823591806,7.62,585.32,0.9,0.06,307.8,1
410,018250,2018/12,0.22412426692027262,0.09351719765414487,0.07196069107624029,1.8586316266425011,32.7,0.9825072886297376,4.04,19.76,inf,11.32,1076.51,28.48,19.27,19.44,0
